NM_BAIRRO,setores,iqu_mediano,total_equipamentos,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca,cluster,pca_x,pca_y
Jardim Veredas I e II,1,7.01,11,1,1,7,2,0,0,0,3.6314260991773994,1.5722539086283225
Residencial Pioneiro Honorato Vecchi,1,5.55,8,1,2,5,0,0,0,0,2.744353514638698,-0.29464612791202427
Jardim Atami,1,4.57,14,0,1,12,1,0,0,2,1.576162028319533,0.952915203786603
Jardim Pinheiros I,1,3.86,10,1,0,9,0,0,0,0,1.0473298383653122,-0.5447820615356253
Jardim Três Lagoas Maurílio Correia Pinho,2,3.48,17,0,1,10,6,0,0,2,3.0518192888314544,4.029048481813393
Jardim Oriental,2,3.42,14,0,2,8,4,0,0,2,2.722376156028875,2.5805634482190465
Jardim Andrade,1,3.23,10,0,1,9,0,0,0,1,0.4328271261685181,0.11720139120789545
Jardim do Carmo e LT 40,1,3.16,8,0,1,7,0,0,0,1,0.27103887027784446,0.2404859161980658
Conjunto Habitacional SANENGE,1,3.09,7,0,1,6,0,0,0,1,0.1762040060391044,0.29166780361950084
Jardim Novo Oásis,4,3.04,19,0,1,13,2,3,0,2,2.6523598392827354,2.722819694141584
Jardim Industrial,2,2.88,7,1,1,5,0,0,0,0,1.0350250721849787,-0.8209426627123907
"J. S. Miguel 1ª e 2ª P e L 41 e 42, Ch Estilo e J. Aurora",1,2.83,5,0,1,4,0,0,0,1,-0.06126253258718578,0.358167435352714
Jardim Seminário,1,2.83,5,0,1,4,0,0,0,1,-0.06126253258718578,0.358167435352714
Jardim Lucianópolis,1,2.83,5,0,1,4,0,0,0,1,-0.06126253258718578,0.358167435352714
Jardim Tarumã (PQ E RES.),4,2.8,26,0,2,23,1,0,0,2,2.2534958034385375,-0.6408905697264329
Jardim Imperial II,4,2.77,15,0,1,10,2,2,0,2,1.9406534854337423,2.309187898625026
Jardim Munique,1,2.69,8,0,0,7,1,0,0,1,-0.1532710389141869,1.0232374656351553
Jardim Monte Rei,2,2.68,11,0,1,9,1,0,0,2,0.6225020935199669,0.6043628625157079
Moradia Atenas 1ª e 2ª Parte,2,2.66,11,0,1,8,2,0,0,2,0.9563262473767281,1.322026936793241
Jardim Novo Horizonte I,2,2.62,7,1,0,5,0,1,0,0,0.6889192562782376,-0.07772227050110736
Recanto dos Magnatas,3,2.56,15,0,0,12,0,3,0,2,0.9308824293258796,1.620068820873714
Conjunto Residencial Planville,1,2.56,6,0,0,5,0,1,0,1,-0.34439802435439404,1.0262965114027904
Jardim Campos Elíseos,2,2.52,14,1,0,13,0,0,0,0,0.7814123583113308,-1.233675543201738
Chác Mandacarú/ Jardim Imperador/Pilar e Ícaro,1,2.51,6,0,0,5,1,0,0,1,-0.35887303744127025,1.1136465261081396
Jardim Aclimação,2,2.48,12,0,0,9,1,2,0,2,0.7035980387459994,1.9147607125078543
Conjunto Habitacional Paulino Carlos Filho,2,2.46,12,1,0,11,0,0,0,0,0.6236071699330579,-1.107402339619096
Residencial Pioneiro Odwaldo Bueno Netto,1,2.45,3,0,1,2,0,0,0,1,-0.3465258813622865,0.38880292397626987
Jardim Mandacaru,1,2.41,5,0,0,4,0,1,0,1,-0.47109742869234084,1.0535689700844542
Parque das Grevíleas,8,2.38,24,1,4,15,2,2,0,2,5.067047936196065,-0.10487655595227943
Vila Esperança II,6,2.33,22,1,2,18,1,0,0,0,2.740943547654254,-1.5427961291876413
Conjunto Residencial João de Barro Champagnat,2,2.22,17,0,1,16,0,0,0,2,0.4992110489795668,-0.6893736096128651
Conjunto Residencial Ney Braga,5,2.2,21,1,2,16,1,1,0,0,2.9585602427475437,-0.8881982895262648
Parque Residencial Patrícia,2,2.2,8,0,0,6,1,1,0,1,-0.012091382615394771,1.498140238398825
Conjunto Residencial João de Barro Itaparica,2,2.16,12,0,2,10,0,0,0,2,0.7194417106362456,-0.5463705051447885
Conjunto Residencial Governador Parigot de Souza,2,2.09,5,0,1,3,1,0,0,1,-0.014219239623287328,0.8606466509723043
"Jardim Moreschi, Jardim Carolina e Alto da Boa Vista",2,2.07,7,0,0,5,1,1,0,1,-0.13082465192854004,1.5313900542654313
Conjunto Residencial Rodolpho Bernardi,2,2.04,12,0,1,11,0,0,0,1,0.09274887549668205,-0.38265663643367526
Parque das Palmeiras,4,1.99,21,0,3,16,1,1,0,2,2.511346366071586,-0.10069033589894391
Vila Marumbi,2,1.98,13,0,0,11,0,2,0,2,0.22960776589632673,0.9695827138530714
Jardim São Clemente,2,1.93,9,0,1,8,0,0,0,1,-0.151925042095529,-0.19922418824465554
Liberdade,6,1.57,20,1,1,16,0,2,0,0,2.0563372483484734,-0.9070977991301655
Jardim Higienópolis,2,1.5,7,0,0,5,2,0,0,1,-0.3524191756602613,1.4633287821622663
Conjunto Habitacional Sol Nascente,3,1.48,35,0,1,34,0,0,0,2,1.4096251027967108,-2.2083833016929844
Conjunto Habitacional SANENGE III,1,1.47,10,0,0,10,0,0,0,1,-0.8470887810047886,-0.20922802924630587
Jardim Dourado,1,1.42,8,0,0,8,0,0,0,1,-1.0009109018706603,-0.07996614707119279
Conjunto João de Barro I,1,1.42,8,0,0,8,0,0,0,1,-1.0009109018706603,-0.07996614707119279
Recanto Kakogawa,1,1.42,8,0,0,8,0,0,0,1,-1.0009109018706603,-0.07996614707119279
Conjunto Residencial Angelo Palmas,1,1.42,8,0,0,8,0,0,0,1,-1.0009109018706603,-0.07996614707119279
Parque Hortência I,2,1.4,15,0,0,15,0,0,0,1,-0.5402032953319257,-0.5906619672372817
Jardim Indaiá I e Indaiá II,1,1.38,7,0,0,7,0,0,0,1,-1.0837965635721978,-0.01981822387234339
Jardim Santa Helena,2,1.34,5,0,0,4,1,0,0,1,-0.8918453280441059,0.8360737683577174
Jardim Ipanema,2,1.34,5,0,0,4,0,1,0,1,-0.8972856525192341,0.7337803606900111
"Condomínios Santa Marina, Bela Vista I e II",2,1.32,14,0,0,14,0,0,0,1,-0.6390212270830664,-0.5424687584083179
"Jardim Paris (Paris III, IV, V E VI)",9,1.32,28,1,2,24,1,0,0,0,2.7403740788133693,-2.277268492439667
Jardim Los Angeles,1,1.32,6,0,0,6,0,0,0,1,-1.1746483602985367,0.03435234214156326
Conjunto Residencial Branca de Jesus Camargo Vieira,4,1.26,23,0,1,22,0,0,0,2,0.5185569177006857,-1.4089025799025336
Parque Itaipu,5,1.2,19,0,1,17,0,1,0,2,0.5631949104249802,-0.5170760773876516
Conjunto Residencial Guaiapó,5,1.2,27,1,3,23,0,0,0,0,2.862729613121815,-3.1642494412638356
Conjunto João de Barro Thais,3,1.2,12,0,2,10,0,0,0,2,0.33706722944576195,-0.833283650022046
Jardim Maravilha,1,1.2,5,0,0,5,0,0,0,1,-1.289398562099281,0.07059083660064118
Conjunto Residencial João de Barro Porto Seguro I,1,1.2,5,0,0,5,0,0,0,1,-1.289398562099281,0.07059083660064118
Conjunto Residencial Léa Leal,3,1.2,16,0,1,15,0,0,0,1,0.02598477106274401,-0.9221161884762159
Conjunto Residencial João de Barro Cidade Canção,1,1.2,5,0,0,5,0,0,0,1,-1.289398562099281,0.07059083660064118
Jardim Espanha,2,1.19,10,0,0,10,0,0,0,1,-0.9586146713520131,-0.292911029835506
Jardim São Silvestre,4,1.19,21,1,1,19,0,0,0,0,1.2992341457163048,-2.3354662708023546
Jardim Novo Alvorada,2,1.14,10,0,0,10,0,0,0,1,-0.9785300089140174,-0.3078544227978632
Conjunto Habitacional Itatiaia,2,1.1,9,0,0,9,0,0,0,1,-1.0614156706155544,-0.2477064995990137
Jardim América,6,1.1,23,0,0,20,3,0,0,2,0.9013026791562077,0.9137808688261229
Jardim Brasil,2,1.08,3,0,0,2,1,0,0,1,-1.129311866670396,0.9025734000909303
Conjunto Habitacional Cidade Alta,3,1.06,12,0,0,12,0,0,0,1,-0.8764877657093566,-0.4759691266751049
Parque Residencial Aeroporto,3,1.06,17,0,0,17,0,0,0,1,-0.5417208074496875,-0.8364823145187806
Parque das Bandeiras,3,1.06,12,0,0,10,1,1,0,1,-0.19834751242135887,0.8690203285821411
Parque Hortência II,3,1.06,9,0,0,9,0,0,0,1,-1.077347940665158,-0.25966121396889946
"Jardim Itália I e II, São Conrado e Botânico",5,1.06,14,0,2,12,0,0,0,2,0.41521106757601745,-1.0193304254541165
Jardim Guairaçá,2,1.06,4,0,0,2,2,0,0,1,-0.728534321161701,1.5481348367997285
Jardim Araucária,1,1.06,4,0,0,4,0,0,0,1,-1.412114898924827,0.10085197387477636
Conjunto Residencial Karina,1,1.06,4,0,0,4,0,0,0,1,-1.412114898924827,0.10085197387477636
Jardim das Laranjeiras,6,1.04,21,0,0,21,0,0,0,1,-0.28187337586675415,-1.1308702219786642
Jardim Imperial I,2,0.98,7,0,0,7,0,0,0,1,-1.2431192640682325,-0.1393653675712006
Vila Santa Isabel,4,0.98,13,0,1,12,0,0,0,1,-0.2625028891658765,-0.7715592048043821
Jardim Dias (Dias I E II),4,0.98,15,0,1,13,1,0,0,2,0.21319418301955406,-0.19212304847937622
Parque Residencial Cidade Nova,6,0.94,18,0,1,13,1,3,0,2,1.407171981145056,1.4436583958288423
Núcleo Habitacional Santa Felicidade-PROFILURB,1,0.89,3,0,0,3,0,0,0,1,-1.5467804382875756,0.12214707537149712
Conjunto Residencial João de Barro - Cidade Alta I,1,0.89,3,0,0,3,0,0,0,1,-1.5467804382875756,0.12214707537149712
Jardim Diamante,5,0.89,10,0,1,8,1,0,0,1,-0.1574203828517228,0.14149203203205665
Jardins Colina Verde (I e II),4,0.89,13,0,0,13,0,0,0,1,-0.8772465217682377,-0.5988793003158543
Jardim Novo Horizonte II,3,0.89,9,0,0,9,0,0,0,1,-1.1450600883759727,-0.31046875004091384
Jardim Oásis,4,0.89,11,0,0,11,0,0,0,1,-1.011153305072105,-0.4546740251783842
Jardim Vitória,3,0.89,8,0,0,7,1,0,0,1,-0.8702231911463437,0.4852753189902975
Conjunto Residencial Inocente Vila Nova Júnior,5,0.89,20,0,1,17,1,1,0,2,0.8484634980740499,0.04181368013947491
"Condomínios Portal das Torres, Cidade Campo e Ana Rosa",4,0.87,14,1,0,13,0,0,0,0,0.12420621876518709,-1.7268075109595242
Parque Residencial Tuiuti,6,0.78,14,0,0,14,0,0,0,1,-0.8541068727527135,-0.7038574024017752
Jardim Universo,4,0.78,9,1,0,8,0,0,0,0,-0.24640834710608978,-1.393192430448091
Conjunto Residencial Hermann Moraes de Barros,4,0.78,10,0,2,8,0,0,0,1,0.035871610621057974,-0.8146028757683759
Conjunto Residencial João de Barro - Cidade Alta II,1,0.68,2,0,0,2,0,0,0,1,-1.6973782476999277,0.1314874624983323
Conjunto Habitacional Requião I,7,0.68,24,0,2,22,0,0,0,2,0.9333884186241221,-1.8539265876553823
Jardim Monte Carlo,3,0.68,6,1,0,5,0,0,0,0,-0.4870991971858999,-1.2067713036666
Loteamento Sumaré,7,0.68,13,0,2,10,1,0,0,2,0.5386913993344133,-0.33715614293681945
Jardim Pinheiros II,1,0.68,2,0,0,2,0,0,0,1,-1.6973782476999277,0.1314874624983323
Ebenezer,2,0.66,4,0,0,4,0,0,0,1,-1.5714375994208618,-0.01869516982408095
Jardim Tabaetê,2,0.55,3,0,0,3,0,0,0,1,-1.6822047337092052,0.020532003227468468
Jardim Império do Sol,2,0.55,3,0,0,3,0,0,0,1,-1.6822047337092052,0.020532003227468468
Jardim Novo Paulista,1,0.42,1,0,0,1,0,0,0,1,-1.8678913946742841,0.12588445666281015
Cidade Monções e Subdivisões do L. 245A (Jardim Bela Vista),5,0.42,5,0,0,5,0,0,0,1,-1.6000778280665489,-0.1625260936121305
Conjunto Residencial João de Barro Porto Seguro II,1,0.42,1,0,0,1,0,0,0,1,-1.8678913946742841,0.12588445666281015
Parque Residencial Quebec,3,0.42,7,1,2,3,1,0,0,0,0.9758767780066806,-1.0320941768186573
Jardim Tóquio,3,0.42,3,0,0,2,1,0,0,1,-1.3921943224888536,0.7053206129878159
Jardim Santa Clara,1,0.42,1,0,0,1,0,0,0,1,-1.8678913946742841,0.12588445666281015
"Jardim Paulista (I, II, III e IV)",12,0.42,19,0,2,16,1,0,0,2,0.8368519939235934,-0.8474776117534877
Jardim D' Monet,1,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
Jardim Monte Sião e Sinai,1,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
Jardim Licce,1,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
Vila Esperança I,2,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
